user_ans_2,summed_ans_2,user_ans_4,summed_ans_4,user_ans_1,summed_ans_1,user_ans_3,summed_ans_3
Санкт Петербург,Санкт-Петербург,Все,"К сожалению, вы не предоставили конкретной информации о проблемах или положительных аспектах, с которыми столкнулся пользователь. Пожалуйста, уточните ваш запрос.",47,47,Снятие денег за переводы внутри Сбербанка и людям Сбербанка Лимит стоит от 50 то Ничего Ок,"Пользователь столкнулся с проблемой, что при переводах внутри Сбербанка и людям Сбербанка взимается комиссия, если сумма превышает 50. Это вызывает неудобства для пользователя."
Ростов,Ростов,"Быстро, без лишней рекламы Много банкоматов Нет Чтобы все они имели возможность снимать и пополнять и в них были деньги и размен Ок","Пользователь отметил следующие положительные аспекты:
- Большое количество банкоматов;
- Отсутствие навязчивой рекламы;
- Возможность снятия и пополнения счета во всех банкоматах;
- Наличие денег и размена в банкоматах.",25,25,"Нет кнопки «перевести себе» в другой банк Часто Нет, нажимаю больше кнопок в вашем Спасибо","Проблемы пользователя: 
1. Отсутствие кнопки ""перевести себе"" в другой банк.
2. Невозможность перевести деньги на свой счет в другом банке.
3. Сложности с использованием функционала программы ""Спасибо""."
Спб,Санкт-Петербург,мне нравится мне мобильное приложение мне нравятся анализ расходов пока!,Пользователь доволен мобильным приложением и особенно функцией анализа расходов.,18,18,мне не нравятся очереди Мне не нравятся большие комиссии за переводы задай вопрос как положено,Какие проблемы вы испытываете при использовании сервисов онлайн-переводов?
Ростов-на-дону,Ростов-на-Дону,"Стикеры в вк Нет, я имел ввиду то, что раз в несколько месяцев мне дарят набор стикеров от сбербанка в социальной сети ""Вконтакте"" Это все","Пользователь столкнулся с положительным аспектом в виде регулярного получения набора стикеров от Сбербанка в социальной сети ""Вконтакте"". Этот аспект можно представить в следующем формате:

Python
[""получение набора стикеров от Сбербанка в ВКонтакте""]",26,26,"Комиссия при оплате ЖКХ Целиком вся коммисия, сталкиваюсь каждый месяц Это все","Проблемы пользователя:
- Комиссия при оплате ЖКХ
- Комиссию нужно платить целиком
- Эта проблема возникает каждый месяц"
Приморск,Приморск,,,40,40,"Закрытие офисов в 18.00 Приходится отпрашиваться с работы, что бы успеть в банк. Бывают вопросы, которые невозможно решить через банк он-лайн. И в выходные работает только одни банк. Многие можно сделать через сбер он-лайн. Персонал  работающий в офисах банка.","[""Проблема 1"": Закрытие офисов в 18:00 создает неудобства для клиентов, которым приходится отпрашиваться с работы, чтобы успеть в банк.],
[""Проблема 2"": Не все вопросы можно решить через онлайн-банкинг, поэтому иногда необходимо посещать физические отделения банка.],
[""Проблема 3"": В выходные дни работает только одно отделение банка, что может быть неудобно для клиентов, которым нужно решить срочные вопросы в нерабочее время.],
[""Проблема 4"": Персонал, работающий в офисах банка, может испытывать трудности в обслуживании клиентов из-за ограничений рабочего времени и доступности отделений.],"
Санкт-Петербург,Санкт-Петербург,,,25,25,"Отсутствие нормального мобильного приложения Отсутствие приложения Длинные очереди в отделениях Качество, надежность услуг Нет","Проблемы, с которыми столкнулся пользователь:
- Отсутствие нормального мобильного приложения
- Отсутствие приложения
- Длинные очереди в отделениях
- Качество и надежность услуг"
Спб,Санкт-Петербург,U Да,"Пользователь не предоставил информацию о проблемах или сложностях, с которыми он столкнулся.",20,20,Спам-звонки Еженедельно Хз Далее,"Проблемы пользователя:
1. Спам-звонки
2. Неизвестно, как часто они происходят (еженедельно?)"
Воронеж,Воронеж,"Нравится удобство приложения, интерфэйс Нравится запоминание последних контактов кому отправляла средства, даже если это другой банк, нравится, что всё, что может понадобится оперативно - камера куаркода например, находится на главной, нравится что легко отследить траты не ведя раскопки в приложении, и плюс анализ финансов 👍 Получше продумать раздел кэшбэка 😌 и сразу в разы чаще пользоваться сбером начну. 👌","Пользователь отмечает следующие положительные аспекты использования приложения:
- Удобный интерфейс;
- Запоминание последних контактов для отправки средств;
- Наличие камеры для сканирования QR-кодов на главной странице;
- Легкость отслеживания расходов;
- Анализ финансов.
Также пользователь предлагает улучшить раздел кэшбэка.",33,33,"Мало вариантов вкладов, кэшбэк Сберспасибо(а хотелось бы рублями) слишком заморочен и от этого бесполезен. Вклад с пополнением и снятием с несколько большим процентом, потому что менее 2 % не интересно, а если чуть больше процент, то сразу стартовая сумма больше и снятие отменено… в общем поэтому и не привлекают именно в Сбере вклады.
Кэшбэк слишком ограничивает траты- именно в приложении и только по некоторым категориям… и лень возиться, проще переложить деньги на карту другого банка, где кэшбэк в рублях🤗 Пару акций лежат на сбере, но тоже, чисто символически, не очень удобно прыгать по разным банкам, а тут немного разочаровалась, поэтому практически не пользуюсь теперь 👌","[1. Недостаточное количество вариантов вкладов в Сбербанке;
2. Кэшбэк программа ""Сберспасибо"" сложна в использовании и не предоставляет достаточно выгод;
3. Отсутствие подходящего вклада с пополнением и снятием, который предлагает хороший процент;
4. Ограничения в программе кэшбэка, которые делают ее использование неудобным и малоприбыльным;
5. Разочарование в использовании Сбербанка из-за отсутствия удобных условий для клиента.]"
Краснодар,Краснодар,Оперативность В переводах Интерфейс Все До свидания! Хорошо Пока,"Пользователь отметил следующие положительные аспекты: оперативность в переводах, удобный интерфейс, возможность быстрого прощания (""до свидания!"") и пожелание ""хорошо"" перед уходом (""пока"").",23,23,Спам смс Надоедают Об операциях Нет Да,"Проблемы пользователя: 
1. Получение спам-смс о различных операциях.
2. Быстрое надоедание от этих сообщений."
Москва,Москва,Все нравится Нет Пожалуйста,"Пользователь не указал конкретные положительные аспекты, с которыми он столкнулся.",24,24,Все нравится Ага,"Отлично! Если у вас нет никаких проблем или вопросов, то я могу помочь вам с чем-то еще."
До свидания,До свидания!,,,23,23,,
Санкт-Петербург,Санкт-Петербург,"Бот помощник Это все, остальное как у всех просто","Извините, я не совсем понимаю, что вы хотите от меня. Можете, пожалуйста, уточнить ваш запрос?",27,27,"Комиссия за оплату гос учреждений, при том что в Данил банках её нет (ЖКХ, садик и тд) Тинькофф Остальное вполне устраивает Ок","Проблемы пользователя:
- Взимание комиссии за оплату государственных учреждений (например, ЖКХ, садик и т.д.) при использовании банка ""Тинькофф"".
- Отсутствие подобной комиссии в других банках."
